Symbol,Name,Last Sale,Net Change,% Change,Market Cap (B),Country,IPO Year,Volume,Sector,Industry
HBANP,Huntington Bancshares Incorporated Depositary Shares 4.500% Series H Non-Cumulative Perpetual Preferred Stock,$18.07,-0.03,-0.166%,26.252301853,United States,,21985,Finance,Major Banks
AFRM,Affirm Holdings Inc. Class A Common Stock,$78.02,0.27,0.347%,24.814764229,United States,2021.0,8486167,Finance,Finance: Consumer Services
HBAN,Huntington Bancshares Incorporated Common Stock,$16.86,0.13,0.777%,24.494400069,United States,,18784261,Finance,Major Banks
TROW,T. Rowe Price Group Inc. Common Stock,$109.03,-0.59,-0.538%,24.222047014,United States,1986.0,1040988,Finance,Investment Bankers/Brokers/Service
IBKR,Interactive Brokers Group Inc. Class A Common Stock,$221.47,-4.72,-2.087%,24.113449626,United States,2019.0,1434345,Finance,Investment Bankers/Brokers/Service
TPG,TPG Inc. Class A Common Stock,$60.79,-1.59,-2.549%,22.186396027,United States,2022.0,1408921,Finance,Investment Managers
NTRS,Northern Trust Corporation Common Stock,$110.42,-0.58,-0.523%,21.887284893,United States,,1809180,Finance,Major Banks
CINF,Cincinnati Financial Corporation Common Stock,$139.43,3.81,2.809%,21.795014672,United States,,1374158,Finance,Property-Casualty Insurers
PFG,Principal Financial Group Inc Common Stock,$85.45,1.07,1.268%,19.544624993,United States,2001.0,1952325,Finance,Accident &Health Insurance
ERIE,Erie Indemnity Company Class A Common Stock,$396.75,-7.68,-1.899%,18.326521268,United States,,111462,Finance,Specialty Insurers
ISRG,Intuitive Surgical Inc. Common Stock,$591.65,-4.05,-0.68%,211.016092751,United States,2000.0,837053,Health Care,Industrial Specialties
AMGN,Amgen Inc. Common Stock,$296.66,1.87,0.634%,159.464457605,United States,1983.0,3506917,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GILD,Gilead Sciences Inc. Common Stock,$96.14,0.66,0.691%,119.815999492,United States,1992.0,6256940,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$455.22,-14.75,-3.138%,117.232483394,United States,1991.0,1560952,Health Care,Biotechnology: Pharmaceutical Preparations
REGN,Regeneron Pharmaceuticals Inc. Common Stock,$665.46,-24.9,-3.607%,72.751202884,United States,1991.0,1270766,Health Care,Biotechnology: Pharmaceutical Preparations
GEHC,GE HealthCare Technologies Inc. Common Stock ,$87.03,-0.47,-0.537%,39.761655362,United States,,2392445,Health Care,Medical Electronics
IDXX,IDEXX Laboratories Inc. Common Stock,$463.74,-1.17,-0.252%,37.973194083,United States,1991.0,516829,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$268.99,-5.07,-1.85%,34.694576864,United States,2004.0,283048,Health Care,Biotechnology: Pharmaceutical Preparations
DXCM,DexCom Inc. Common Stock,$86.38,-1.89,-2.141%,33.739629788,United States,2005.0,2585946,Health Care,Medical/Dental Instruments
NTRA,Natera Inc. Common Stock,$169.71,-2.48,-1.44%,22.405252683,United States,2015.0,1553275,Health Care,Medical Specialities
BIIB,Biogen Inc. Common Stock,$139.39,-3.15,-2.21%,20.311818803,United States,,1908950,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PODD,Insulet Corporation Common Stock,$284.26,-1.08,-0.378%,19.939353742,United States,2007.0,417009,Health Care,Medical/Dental Instruments
RPRX,Royalty Pharma plc Class A Ordinary Shares ,$32.25,0.53,1.671%,19.001144752,United States,2020.0,7664922,Health Care,Biotechnology: Pharmaceutical Preparations
COO,The Cooper Companies Inc. Common Stock,$93.45,-0.18,-0.192%,18.6509964,United States,,681671,Health Care,Ophthalmic Goods
ILMN,Illumina Inc. Common Stock,$100.68,-4.31,-4.105%,15.967848,United States,2000.0,4267048,Health Care,Medical Specialities
UTHR,United Therapeutics Corporation Common Stock,$353.31,7.67,2.219%,15.773355008,United States,1999.0,508279,Health Care,Biotechnology: Pharmaceutical Preparations
ALGN,Align Technology Inc. Common Stock,$210.52,-1.51,-0.712%,15.715962191,United States,2001.0,650671,Health Care,Industrial Specialties
HOLX,Hologic Inc. Common Stock,$64.47,-0.77,-1.18%,14.466398286,United States,1990.0,2107346,Health Care,Medical Electronics
INSM,Insmed Incorporated Common Stock,$79.89,1.77,2.266%,14.292538381,United States,,1458000,Health Care,Biotechnology: Pharmaceutical Preparations
SMMT,Summit Therapeutics Inc. Common Stock ,$19.08,-1.42,-6.927%,14.070510626,United States,2015.0,1916792,Health Care,Biotechnology: Pharmaceutical Preparations
LIN,Linde plc Ordinary Shares,$460.74,-0.12,-0.026%,219.384992228,United States,,1587763,Industrials,Major Chemicals
HON,Honeywell International Inc. Common Stock,$206.94,-1.58,-0.758%,134.562192817,United States,,3077232,Industrials,Aerospace
CSX,CSX Corporation Common Stock,$33.11,0.03,0.091%,63.849958156,United States,,9176496,Industrials,Railroads
ROP,Roper Technologies Inc. Common Stock,$581.35,6.83,1.189%,62.337666934,United States,1992.0,552398,Industrials,Industrial Machinery/Components
AXON,Axon Enterprise Inc. Common Stock,$669.26,-8.59,-1.267%,51.034271386,United States,2001.0,421465,Industrials,Ordnance And Accessories
BKR,Baker Hughes Company Class A Common Stock,$47.11,-0.07,-0.148%,46.644169442,United States,,5240411,Industrials,Metal Fabrications
ODFL,Old Dominion Freight Line Inc. Common Stock,$205.77,3.99,1.977%,43.931387983,United States,1991.0,1956922,Industrials,Trucking Freight/Courier Services
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,$100.07,0.52,0.522%,24.88802353,United States,,643286,Industrials,Broadcasting
FOXA,Fox Corporation Class A Common Stock,$53.39,0.14,0.263%,24.208513339,United States,,2290019,Industrials,Broadcasting
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,$92.72,0.72,0.783%,23.060033394,United States,,52601,Industrials,Broadcasting
FOX,Fox Corporation Class B Common Stock,$50.55,0.2,0.397%,22.920778222,United States,,524404,Industrials,Broadcasting
STLD,Steel Dynamics Inc.,$134.86,1.99,1.498%,20.531760026,United States,1996.0,2616402,Industrials,Steel/Iron Ore
TER,Teradyne Inc. Common Stock,$112.72,-1.34,-1.175%,18.357743997,United States,,1697330,Industrials,Electrical Products
ZBRA,Zebra Technologies Corporation Class A Common Stock,$354.40,-4.04,-1.127%,18.279961923,United States,1991.0,951090,Industrials,Industrial Machinery/Components
TRMB,Trimble Inc. Common Stock,$73.83,-0.53,-0.713%,18.146827347,United States,1990.0,830706,Industrials,Industrial Machinery/Components
SYM,Symbotic Inc. Class A Common Stock,$29.14,0.95,3.37%,17.145737052,United States,2021.0,2112291,Industrials,Industrial Machinery/Components
JBHT,J.B. Hunt Transport Services Inc. Common Stock,$167.50,0.4,0.239%,16.889017295,United States,,653393,Industrials,Trucking Freight/Courier Services
ENTG,Entegris Inc. Common Stock,$105.74,-0.99,-0.928%,15.966524396,United States,2000.0,1975015,Industrials,Plastic Products
PARAA,Paramount Global Class A Common Stock,$22.30,-0.08,-0.357%,14.873546425,United States,,19067,Industrials,Broadcasting
RKLB,Rocket Lab USA Inc. Common Stock,$28.22,-2.38,-7.778%,14.107490621,United States,2020.0,20175358,Industrials,Military/Government/Technical
IDCC,InterDigital Inc. Common Stock,$207.62,0.57,0.275%,5.332520592,United States,,479444,Miscellaneous,Multi-Sector Companies
NOVT,Novanta Inc. Common Stock,$146.53,-1.13,-0.765%,5.263552192,United States,,127988,Miscellaneous,Industrial Machinery/Components
ENVX,Enovix Corporation Common Stock,$10.57,-1.22,-10.348%,1.881219046,United States,2021.0,7599525,Miscellaneous,Industrial Machinery/Components
RUN,Sunrun Inc. Common Stock,$8.10,-0.26,-3.11%,1.817148929,United States,2015.0,8420778,Miscellaneous,Industrial Machinery/Components
FLNC,Fluence Energy Inc. Class A Common Stock,$7.00,-6.07,-46.442%,1.267843318,United States,2021.0,53145067,Miscellaneous,Industrial Machinery/Components
EOSE,Eos Energy Enterprises Inc. Class A Common Stock,$4.91,-0.49,-9.074%,1.069949693,United States,,12392189,Miscellaneous,Industrial Machinery/Components
CTLP,Cantaloupe Inc. Common Stock,$10.53,0.6,6.042%,0.769054075,United States,,1247252,Miscellaneous,Office Equipment/Supplies/Services
BYRN,Byrna Technologies Inc. Common Stock,$32.33,-1.86,-5.44%,0.732175118,United States,,833513,Miscellaneous,Industrial Machinery/Components
MVST,Microvast Holdings Inc. Common Stock,$1.79,0.11,6.548%,0.579629383,United States,2019.0,9350708,Miscellaneous,Industrial Machinery/Components
APPS,Digital Turbine Inc. Common Stock,$5.45,0.07,1.301%,0.572287109,United States,,9508976,Miscellaneous,Multi-Sector Companies
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$4.25,0.0,0.00%,0.413814701,United States,,67398,Miscellaneous,Multi-Sector Companies
SLDP,Solid Power Inc. Class A Common Stock,$1.31,-0.02,-1.504%,0.236307846,United States,2021.0,1711720,Miscellaneous,Industrial Machinery/Components
JYNT,The Joint Corp. Common Stock,$11.56,0.02,0.173%,0.17321052,United States,2014.0,38965,Miscellaneous,Multi-Sector Companies
EOSEW,Eos Energy Enterprises Inc. Warrant,$0.72,-0.23,-24.211%,0.1568969,United States,,366829,Miscellaneous,Industrial Machinery/Components
ULBI,Ultralife Corporation Common Stock,$7.45,-0.37,-4.731%,0.123870629,United States,1992.0,60167,Miscellaneous,Industrial Machinery/Components
MVSTW,Microvast Holdings Inc. Warrants,$0.35,0.0351,11.146%,0.113335354,United States,2019.0,247495,Miscellaneous,Industrial Machinery/Components
ZEO,Zeo Energy Corporation Class A Common Stock,$2.25,-0.03,-1.316%,0.110839151,United States,2021.0,42801,Miscellaneous,Industrial Machinery/Components
NEOV,NeoVolta Inc. Common Stock,$3.10,0.07,2.31%,0.103593081,United States,,427916,Miscellaneous,Industrial Machinery/Components
LASE,Laser Photonics Corporation Common Stock,$3.99,-0.09,-2.206%,0.055191256,United States,2022.0,256326,Miscellaneous,Industrial Machinery/Components
REFR,Research Frontiers Incorporated Common Stock,$1.56,0.16,11.429%,0.052287748,United States,,53023,Miscellaneous,Multi-Sector Companies
EQIX,Equinix Inc. Common Stock REIT,$943.64,0.5,0.053%,91.050112781,United States,2000.0,437783,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,$25.69,-0.01,-0.039%,22.75208731,United States,,15541,Real Estate,Real Estate Investment Trusts
SBAC,SBA Communications Corporation Class A Common Stock,$209.24,2.93,1.42%,22.498032172,United States,1999.0,526293,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,$25.38,0.01,0.039%,22.477538962,United States,,14863,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,$25.1586,0.0286,0.114%,22.281458303,United States,,10693,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$24.97,0.02,0.08%,22.11442663,United States,,24705,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,$24.80,0.17,0.69%,21.963867858,United States,,17902,Real Estate,Real Estate Investment Trusts
REG,Regency Centers Corporation Common Stock,$74.42,0.81,1.10%,13.50763157,United States,1993.0,950985,Real Estate,Real Estate Investment Trusts
GLPI,Gaming and Leisure Properties Inc. Common Stock,$48.76,-0.32,-0.652%,13.379332124,United States,,880759,Real Estate,Real Estate Investment Trusts
LINE,Lineage Inc. Common Stock,$57.50,0.15,0.262%,13.133674475,United States,2024.0,599120,Real Estate,Real Estate Investment Trusts
LAMR,Lamar Advertising Company Class A Common Stock,$126.75,-1.43,-1.116%,12.973852037,United States,1996.0,347748,Real Estate,Real Estate Investment Trusts
HST,Host Hotels & Resorts Inc. Common Stock,$16.49,-0.06,-0.363%,11.526992728,United States,,4612893,Real Estate,Real Estate Investment Trusts
AGNC,AGNC Investment Corp. Common Stock,$10.18,0.04,0.394%,9.0158135,United States,2008.0,20213948,Real Estate,Real Estate Investment Trusts
LOPE,Grand Canyon Education Inc. Common Stock,$182.00,0.2,0.11%,5.304532142,United States,2008.0,184476,Real Estate,Other Consumer Services
PECO,Phillips Edison & Company Inc. Common Stock,$37.12,0.3,0.815%,4.550912,United States,2021.0,602396,Real Estate,Real Estate Investment Trusts
REGCP,Regency Centers Corporation 6.25% Series A Cumulative Redeemable Preferred Stock,$23.20,0.16,0.694%,4.210925187,United States,,20102,Real Estate,Real Estate Investment Trusts
REGCO,Regency Centers Corporation 5.875% Series B Cumulative Redeemable Preferred Stock,$22.29,0.14,0.632%,4.045755277,United States,,11048,Real Estate,Real Estate Investment Trusts
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,$16.57,0.12,0.729%,3.997932931,United States,,11402,Real Estate,Real Estate Investment Trusts
SBRA,Sabra Health Care REIT Inc. Common Stock,$16.24,-0.39,-2.345%,3.842169713,United States,,3180393,Real Estate,Real Estate Investment Trusts
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,$14.75,0.13,0.889%,3.558811752,United States,,24763,Real Estate,Real Estate Investment Trusts
AAPL,Apple Inc. Common Stock,$232.62,4.97,2.183%,3494.43462126,United States,1980.0,53677039,Technology,Computer Manufacturing
NVDA,NVIDIA Corporation Common Stock,$132.80,-0.77,-0.576%,3252.272,United States,1999.0,178309816,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$411.44,-0.78,-0.189%,3058.637650768,United States,1986.0,18122243,Technology,Computer Software: Prepackaged Software
GOOG,Alphabet Inc. Class C Capital Stock,$187.07,-1.13,-0.60%,2280.3833,United States,2004.0,13009209,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$185.32,-1.15,-0.617%,2259.0508,United States,2004.0,21214228,Technology,Computer Software: Programming Data Processing
META,Meta Platforms Inc. Class A Common Stock,$719.80,2.4,0.335%,1823.727938947,United States,2012.0,12982372,Technology,Computer Software: Programming Data Processing
AVGO,Broadcom Inc. Common Stock,$235.04,0.0,0.00%,1101.716190906,United States,2009.0,18461539,Technology,Semiconductors
PLTR,Palantir Technologies Inc. Class A Common Stock,$112.62,-4.03,-3.455%,256.43754192,United States,,93944544,Technology,Computer Software: Prepackaged Software
ADBE,Adobe Inc. Common Stock,$458.82,7.72,1.711%,199.724346,United States,1986.0,3255500,Technology,Computer Software: Prepackaged Software
QCOM,QUALCOMM Incorporated Common Stock,$171.99,0.63,0.368%,190.22094,United States,1991.0,6586134,Technology,Radio And Television Broadcasting And Communications Equipment
AMD,Advanced Micro Devices Inc. Common Stock,$111.10,0.62,0.561%,180.035101578,United States,,34954242,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$585.88,-0.96,-0.164%,164.0669058,United States,1993.0,1856677,Technology,Computer Software: Prepackaged Software
TXN,Texas Instruments Incorporated Common Stock,$179.25,-1.06,-0.588%,163.51482806,United States,,3795263,Technology,Semiconductors
AMAT,Applied Materials Inc. Common Stock,$183.20,-0.46,-0.25%,149.067025682,United States,1972.0,3907314,Technology,Semiconductors
PANW,Palo Alto Networks Inc. Common Stock,$195.49,-0.91,-0.463%,128.280538,United States,,5650280,Technology,Computer peripheral equipment
APP,Applovin Corporation Class A Common Stock,$375.25,-9.15,-2.38%,125.930824451,United States,2021.0,4247646,Technology,Computer Software: Programming Data Processing
ADP,Automatic Data Processing Inc. Common Stock,$305.78,-1.15,-0.375%,124.412981662,United States,,1150971,Technology,EDP Services
